depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,Ndep,Narr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,budget,aircraft_weight,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
0,4469.189371,2,3596.301741,1,477.69,1,4,0,0,0,0,0,0,0,0,30.21,10000,16,5.6628,0,0,0,0,0,0,0,2,2,292.4031565,425.8181716,392.6911932,269.4146968,452.4150893,359.1106641,17.63333333
1,4955.407942,0,3219.835129,1,828.71,0,0,0,0,0,0,0,0,0,0,30.12,10000,20,2.574,0,0,0,0,0,0,0,2,3,221.8755806,429.104,429.104,222.3112886,410.7489237,410.7489237,17.4
0,4772.124247,0,2691.476188,1,789.09,0,1,0,0,0,0,0,0,0,0,30.15,10000,16,2.574,0,0,0,0,0,0,0,2,3,303.4330465,498.4151522,498.4151522,335.4787914,469.9862864,469.9862864,16.75
0,3459.951033,2,2761.638447,0,375.34,0,1,0,0,0,0,0,0,0,0,30.15,10000,18,1.0296,0,0,0,0,0,0,0,2,3,313.0674254,458.5018189,410.6323878,287.94553,461.3726516,403.8539157,16.6
0,5589.998826,0,3759.808176,1,883.16,0,5,0,0,0,0,0,0,0,0,30.03,9000,17,7.2072,0,0,0,0,0,0,0,2,3,341.1101813,389.7311233,364.0399845,351.4295047,428.6734587,414.8235507,16.54696667
0,4293.427191,2,3929.233076,1,511.22,0,3,0,0,0,0,0,0,0,0,30.06,3300,21,1.5444,0,0,0,0,1,0,0,2,2,318.5750442,492.14328,473.4298668,320.7847905,491.2710083,455.7316028,16.26666667
0,6218.438111,2,4971.445307,1,1052.69,0,1,0,0,0,0,0,0,0,0,30.18,10000,17,6.6924,0,0,0,0,0,0,0,2,3,338.3437783,456.8396243,446.8721284,332.4486414,439.689779,388.4798543,16.15
0,3041.707681,2,2372.406224,0,377.08,0,5,0,0,0,0,0,0,0,0,29.94,10000,18,3.0888,0,0,0,0,0,0,0,2,3,275.2997649,494.7641028,424.3764437,278.1505382,462.7220585,393.2455664,16.03333333
0,5565.617464,2,5129.900165,0,534.88,0,1,0,0,0,0,0,0,0,0,30.15,10000,19,4.6332,0,0,0,0,0,0,0,2,2,248.4421646,430.5926916,416.7032052,214.9742122,448.4873926,339.5174281,15.95
0,5615.064373,2,4628.864098,0,617.18,2,2,0,0,0,0,0,0,0,0,30.36,10000,17,4.6332,0,0,0,0,0,0,0,2,3,342.6656394,459.6539964,410.8373768,303.6094981,434.6278342,401.1598179,15.85
0,4738.89296,2,2757.056366,1,785.89,2,0,0,0,0,0,0,0,0,0,30,8000,17,7.722,0,0,0,0,0,0,0,2,3,413.2290824,453.9444175,453.9444175,362.4557625,429.734208,442.1144493,15.73333333
0,4455.68876,2,2303.348411,1,944.27,0,2,0,0,0,0,0,0,0,0,30.36,10000,16,4.1184,0,0,0,0,0,0,0,2,3,331.088756,467.9749275,376.4064467,358.5724431,438.6093947,423.0941207,15.55131667
0,2898.002074,2,2124.478679,0,376.39,0,3,0,0,0,0,0,0,0,0,30.12,10000,17,8.7516,0,0,0,0,0,0,0,2,3,276.4545461,523.0946312,469.9694871,229.8257998,498.9882412,451.4107134,15.51666667
0,4226.359588,2,2303.348411,1,944.95,0,1,0,0,0,0,0,0,0,0,30.24,10000,16,4.6332,0,0,0,0,0,0,0,2,3,291.0236056,418.157905,418.157905,288.8079553,457.1824191,390.1920991,15.42273333
0,4354.861225,0,2213.364529,1,809.15,1,3,0,0,0,0,0,0,0,0,30.18,10000,18,6.6924,0,0,0,0,0,0,0,2,3,253.8267022,426.7020963,364.6306497,279.8729958,395.1232824,352.1499447,15.41666667
0,1244.241981,0,0,3,1066.55,0,4,0,0,0,0,0,0,0,0,29.97,10000,17,2.574,0,0,0,0,0,0,0,2,3,316.788556,441.7322181,441.7322181,359.9435906,447.0869811,447.0869811,15.30148333
0,3221.27536,2,2124.478679,0,375.17,0,2,0,0,0,0,0,0,0,0,30.27,10000,17,2.0592,0,0,0,0,0,0,0,2,3,209.766505,491.5746751,365.967573,197.4073286,453.2403311,410.3450422,15.16666667
0,5688.949097,2,4642.501098,0,598.25,0,3,0,0,0,0,0,0,0,0,30.09,10000,19,3.6036,0,0,0,0,0,0,0,2,2,361.9881719,404.15378,392.7999579,348.1919104,492.9439859,443.4035151,15.09255
0,3149.891195,2,2124.478679,0,375.74,0,3,0,0,0,0,0,0,0,0,29.94,4100,19,1.5444,0,0,0,0,1,0,0,2,3,270.7702509,670.5582271,670.5582271,323.220207,563.7374678,563.7374678,14.65
0,3638.981977,2,2839.653716,0,377.65,3,4,0,0,0,0,0,0,0,0,29.97,10000,18,7.722,0,0,0,0,0,0,0,2,3,291.7666654,382.1619425,343.7196553,319.1710494,408.0706207,328.7290516,14.53285
0,5547.036807,2,4566.199715,1,658.36,0,0,0,0,0,0,0,0,0,0,30.03,5000,20,1.5444,0,0,0,0,0,0,0,2,2,351.3989463,401.9036911,403.9908243,328.1373781,433.9998786,390.0616909,14.5
0,4548.334097,2,3157.927581,0,614.12,0,1,0,0,0,0,0,0,0,0,30.27,9000,15,6.6924,0,0,0,0,0,0,0,2,2,291.2419797,467.2426832,371.1986723,278.8412062,443.6930762,374.1429064,14.21666667
0,2965.914903,2,2124.478679,0,457.19,0,1,0,0,0,0,0,0,0,0,30.27,10000,15,5.148,0,0,0,0,0,0,0,2,3,319.40929,501.5613483,494.9856323,277.84435,513.6816542,430.9627749,14.2
0,4781.509172,2,4175.772271,0,506.99,1,5,0,0,0,0,0,0,0,0,29.94,2900,19,2.0592,0,0,0,0,1,0,0,2,2,259.7052009,514.994359,514.994359,265.2377259,551.9477362,423.655439,14.15248333
0,5987.982753,2,4684.839677,0,721.7,1,3,0,0,0,0,0,0,0,0,30.03,10000,17,3.6036,0,0,0,0,0,0,0,2,2,435.0869428,464.4767945,508.2918057,388.0880136,442.1379486,491.1947117,13.92461667
0,4539.995218,2,3953.255672,0,278.97,0,1,0,0,0,0,0,0,0,0,30.27,10000,17,7.722,0,0,0,0,0,0,0,2,3,289.8070911,475.8522276,417.6832608,289.023206,525.8538201,358.4687319,13.88333333
0,4290.30311,2,2213.364529,1,808.26,0,3,0,0,0,0,0,0,0,0,30.3,10000,14,3.6036,0,0,0,0,0,0,0,2,3,346.6746246,485.39661,437.0021745,306.3669813,427.5329285,416.9866982,13.76666667
0,5041.623092,0,3577.560397,0,1440.99,0,0,0,0,0,0,0,0,0,0,30.03,8000,20,3.6036,0,0,0,0,0,0,0,2,3,404.3994758,468.7662385,468.7662385,414.3269669,448.1534062,448.9332528,13.58333333
0,3008.989625,2,1739.98126,0,549.98,0,2,0,0,0,0,0,0,0,0,30.12,4900,19,2.574,0,0,0,0,1,0,0,2,3,275.7175702,398.817118,339.7928195,247.3337139,428.3855757,376.6005379,13.58333333
0,3947.928229,2,2746.967978,1,743.64,0,3,0,0,0,0,0,0,0,0,30.21,10000,16,6.6924,0,0,0,0,0,0,0,2,3,276.5907789,447.0973393,367.4703938,267.9666185,460.4320455,361.8440591,13.53333333
0,3213.332123,2,2543.315466,0,376.63,0,1,0,0,0,0,0,0,0,0,30.27,9000,16,4.1184,0,0,0,0,0,0,0,2,3,278.4864547,393.3641572,308.6320714,232.9807124,391.4178441,330.2470727,13.48333333
1,4408.731914,0,2490.580612,1,986.49,0,0,0,4,0,0,0,0,0,0,30.27,9000,16,3.0888,0,0,0,0,0,0,0,2,3,238.2665353,405.628164,405.628164,265.4958916,409.2212797,370.0090955,13.45
0,2897.585585,2,2124.478679,0,376.08,0,0,0,0,0,0,0,0,0,0,30.27,10000,11,6.1776,0,0,0,0,0,0,0,2,3,237.1973886,602.138907,520.7290582,257.3654053,496.8376188,440.6379338,13.41666667
0,4262.394748,0,3220.564754,0,684.17,1,3,0,0,0,0,0,0,0,0,30.03,6000,21,3.6036,0,0,0,0,0,0,0,2,3,414.0375394,462.7724006,449.212438,401.9064573,436.7260073,435.8539097,13.3552
0,2970.699216,2,2124.478679,0,374.16,0,4,0,0,0,0,0,0,0,0,30.27,10000,12,7.2072,0,0,0,0,0,0,0,2,3,277.533422,425.1407286,390.7849782,337.2538114,441.1326612,378.2251186,13.31666667
1,5050.412094,0,3040.223126,1,1700.4,0,0,0,2,0,0,0,0,0,0,30.3,10000,17,10.296,0,0,0,0,0,0,0,2,3,232.7098782,431.3695647,431.3695647,268.8255365,425.7420883,388.2975663,13.23333333
0,3172.249267,2,2124.478679,0,456.03,0,2,0,0,0,0,0,0,0,0,30.3,10000,17,8.7516,0,0,0,0,0,0,0,2,3,305.880061,426.6353746,305.880061,299.7104692,416.9773994,320.8569917,13.15151667
1,2133.847331,0,1356.175613,3,372.15,0,0,1,3,0,0,0,0,0,0,30.27,10000,16,4.1184,0,0,0,0,0,0,0,2,3,238.785242,496.3251711,496.3251711,261.1730734,447.6665571,426.4878216,12.83333333
1,3727.285197,0,1723.499705,1,1086.45,0,0,1,2,0,0,0,0,0,0,30.15,10000,16,5.6628,0,0,0,0,0,0,0,2,3,385.1790859,503.8706717,503.8706717,420.0479862,470.8109942,470.8109942,12.78333333
0,5214.408109,0,4272.479885,0,550.2,0,3,0,0,0,0,0,0,0,0,30.36,7000,13,5.148,0,0,0,0,0,0,0,2,2,243.0681626,474.5481462,445.6335239,251.5725567,487.9234007,358.8081544,12.56666667
0,3047.896009,0,1833.940898,0,378.02,0,2,0,0,0,0,0,0,0,0,30.33,10000,14,7.722,0,0,0,0,0,0,0,2,3,215.0143008,505.4197239,391.4794559,240.9358037,459.2462643,426.1247858,12.53333333
